+-----------------------------------------+--------------------+----------+-----------------------------------+
| File                                    | Execution Time     | Action   | Signature                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.074863433837891    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.076055526733398    | Execute  | test(460, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.090122222900391    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.056028366088867    | Execute  | test(470)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.072956085205078    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.056028366088867    | Execute  | test(480, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.097036361694336    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.065088272094727    | Execute  | test(490)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.076055526733398    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.059127807617188    | Execute  | test(500, "dummy")                |
+-----------------------------------------+----------------------+----------+-----------------------------------+
| Total Execution Time                    | 0.007731199264526365 |
+-----------------------------------------+----------------------+----------+-----------------------------------+
+-----------------------------------------+----------------------+----------+-----------------------------------+
| File                                    | Execution Time       | Action   | Signature                         |
+-----------------------------------------+----------------------+----------+-----------------------------------+
| Unknown file                            | 0.0457763671875      | Allocate | test()                            |
| Unknown file                            | 0.012874603271484    | Allocate | test-2()                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.164031982421875    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.097036361694336    | Execute  | test(10)                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.088214874267578    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.073909759521484    | Execute  | test(20, "dummy")                 |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.08702278137207     | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.074863433837891    | Execute  | test(30)                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.128030776977539    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.077962875366211    | Execute  | test(40, "dummy")                 |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.092983245849609    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.075817108154297    | Execute  | test(50)                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.093936920166016    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.066995620727539    | Execute  | test(60, "dummy")                 |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.083208084106445    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.064849853515625    | Execute  | test(70)                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.172853469848633    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.07319450378418     | Execute  | test(80, "dummy")                 |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.090122222900391    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.067710876464844    | Execute  | test(90)                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.092983245849609    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.067949295043945    | Execute  | test(100, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.080108642578125    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.059843063354492    | Execute  | test(110)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.077962875366211    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.061988830566406    | Execute  | test(120, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.08082389831543     | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.058174133300781    | Execute  | test(130)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.077962875366211    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.059843063354492    | Execute  | test(140, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.14495849609375     | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.100135803222656    | Execute  | test(150)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.134944915771484    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.168085098266602    | Execute  | test(160, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.090837478637695    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.081300735473633    | Execute  | test(170)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.089168548583984    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.056982040405273    | Execute  | test(180, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.103950500488281    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.069141387939453    | Execute  | test(190)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.091791152954102    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.05793571472168     | Execute  | test(200, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.075101852416992    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.068187713623047    | Execute  | test(210)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.082969665527344    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.074148178100586    | Execute  | test(220, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.106096267700195    | Execute  | test-2(("key": false), (1, 2, 3)) |
